path,type,depth,size_bytes,extension,language,category,generated_signal,binary,sha256,mode
core/src/dns/packet.rs,file,4,9563,.rs,Rust,source,False,False,2121cfe168d01141495a82bfde654a7a429972a7839a165193996ef8b43edb3d,0o644
core/src/dns/udp.rs,file,4,3909,.rs,Rust,source,False,False,d8a17aaf52ee68907bb0422f6255f2ea2d603396de9e1bc3f8441a2a20952e37,0o644
core/src/dpi,directory,3,0,,,source,False,False,,0o2755
core/src/dpi/l7_patterns.txt,file,4,570,.txt,Text,documentation,False,False,e81c455a648cfba43e76fe5c4c86acf381b44b5ad2bbcb4657e97389b3194326,0o644
core/src/dpi/packet_parser.rs,file,4,2172,.rs,Rust,source,False,False,7a5b1aef140978e1b095d871334a5a72e4ac38331b46c6d5aa6c3fc3be988eb4,0o644
core/src/engine.rs,file,3,21030,.rs,Rust,source,False,False,c0378d8f77aa1f40fef4f3d091672680a3a6918b74d500a8ab04260b39a7d173,0o644
core/src/evasion,directory,3,0,,,source,False,False,,0o2755
core/src/evasion/client_ip_obfuscator.rs,file,4,7387,.rs,Rust,source,False,False,a3e728db2a6248fbb2c6e6e09f33f8128fe132362ecef484fd4bbe12db615bf4,0o644
core/src/evasion/cloak_obfs.rs,file,4,4325,.rs,Rust,source,False,False,c7ed982a165bcd340f1f32414772a8974ef28c1cbea30ee0096ab367af356c5d,0o644
core/src/evasion/composable.rs,file,4,8353,.rs,Rust,source,False,False,f7623d34a07b17dc6e2062c54850a6a14a729145772ef580294711aebe1706f6,0o644
core/src/evasion/desync.rs,file,4,5392,.rs,Rust,source,False,False,34631ff95bcecf8f7456205be2ad4283b59bbe18b3e83ee7fbc1edbff0be2a85,0o644
core/src/evasion/detect.rs,file,4,4890,.rs,Rust,source,False,False,d1be5b6d021cb32a88f9b9a2bf75cabf315a0055f4fce396f388451ef29557a8,0o644
core/src/evasion/dhcp_spoofing_detector.rs,file,4,441,.rs,Rust,source,False,False,66ac1a13475fd2d1ad9950ecccd982feb99113b4b3ed2ffb2e810cd3cc9b2a33,0o644
core/src/evasion/domain_fronting_plugin.rs,file,4,433,.rs,Rust,source,False,False,c774ebde41b8270deedf1a0fdebf6a2b6bb1cb3ec423cbc16484cbc50ddcb16c,0o644
core/src/evasion/ech_plugin.rs,file,4,485,.rs,Rust,source,False,False,85a4d21f3efd028ea1555cfef95713db223c7db2296621f304d91e000829ae3e,0o644
core/src/evasion/ev_evasion.rs,file,4,6728,.rs,Rust,source,False,False,efae353947528e21c6b07894f96f8e7e05c1a0b2b4c52876d8363e0043edc977,0o644
core/src/evasion/fingerprint.rs,file,4,8189,.rs,Rust,source,False,False,533dfe2e96f6748506a12b0ab24f2adae3a81a829cddf7b8f2b2ab48bf458839,0o644
core/src/evasion/format_transform.rs,file,4,414,.rs,Rust,source,False,False,8d72b2ae862fa2035fe9fdf3644b9c5982756cf7b64552c455ead1cb2004306d,0o644
core/src/evasion/fragment.rs,file,4,9472,.rs,Rust,source,False,False,53444bd95da834e6fb12a089bb65e506e8223fbf8545f0a7b3b446c6f6e80dbe,0o644
core/src/evasion/goodbyedpi.rs,file,4,461,.rs,Rust,source,False,False,80630f74447b5a93521df5a81427a35fb3765108be934af45e7ffac5ff9d51f5,0o644
core/src/evasion/http_tricks.rs,file,4,17513,.rs,Rust,source,False,False,e1812e416da93904e33a181090e9bc02a33ccd1a332601e1a37e53d6151febe1,0o644
core/src/evasion/intercept_suite.rs,file,4,393,.rs,Rust,source,False,False,4fdf9c92af17b12b69927e70db474ae63a166a5645796e3afda9d2546a7552b0,0o644
core/src/evasion/mod.rs,file,4,8365,.rs,Rust,source,False,False,c5a63cdcd94ea7c5690c61291a941d0f5ac70899ffb1b7c6404c9e82c467fc96,0o644
core/src/evasion/ndp_spoof.go,file,4,566,.go,Go,source,False,False,ae5ff384cb731352a75a453a56eca7551705f9feff9e60ca3c6bb6c4ac4b2771,0o644
core/src/evasion/noise.rs,file,4,2611,.rs,Rust,source,False,False,b7a96098eb5f83b7e6b2675ef8bfe42a723de3bdd7960d04708d2f26f9d1cfd4,0o644
core/src/evasion/opengfw_engine.rs,file,4,422,.rs,Rust,source,False,False,2a8850b4443d240e55d1b04689b55bbdc79a247e652c4c7d4e5877e179b44854,0o644
core/src/evasion/packet_header.rs,file,4,5085,.rs,Rust,source,False,False,090298dac5bcc21e268127fec413b8a50cb5da5579f3a38c0df48a325ffdee66,0o644
core/src/evasion/paqet_injection.rs,file,4,7158,.rs,Rust,source,False,False,1d0345028e18a90f3d1cfe98f86035b1639269fcb5fd197cca71e8a4a93b6dba,0o644
core/src/evasion/passive_dpi_evasion.rs,file,4,2678,.rs,Rust,source,False,False,b4a420a9194abf408a8fecacd4855c72942c660d16c16e5f25f5010c7f41f1bd,0o644
core/src/evasion/rahgozar_drive.rs,file,4,389,.rs,Rust,source,False,False,49f33d5d350341e9204b19a40bb99ce1d115e76e7383e3c7d6e1c4ec59b1fa6c,0o644
core/src/evasion/reality_impersonator.rs,file,4,550,.rs,Rust,source,False,False,1bfadb5949f6eef1a19ec483b97422b3859105b0f2b1786d183f6cecf08d6d1f,0o644
core/src/evasion/reverse_handshake.rs,file,4,434,.rs,Rust,source,False,False,712b09cee841c6ab3b8e55568b5ccaf6b34cb22eef389e7ddd37a506720fb0ac,0o644
core/src/evasion/secure_hostname.rs,file,4,1864,.rs,Rust,source,False,False,46d570aae4bd1a71717c5c2a746d5a1620eb68075bc8b00ca30d92fe9f806dd9,0o644
core/src/evasion/smuggling.rs,file,4,2920,.rs,Rust,source,False,False,bfbbcc3830126daa8870d63efd5605eac560a21057f1b2add834b904f10b2254,0o644
core/src/evasion/sni_bypass.rs,file,4,11413,.rs,Rust,source,False,False,9828722f758aff8e306e8aa8dc97c8f63957e64f735b1e2ba21e005a5a4f6a2e,0o644
core/src/evasion/sni_decoy_generator.rs,file,4,469,.rs,Rust,source,False,False,fe11f6c93c8a08be0b9a50d57e6282d4b425d4bbaa6f746cc326e54a595e2649,0o644
core/src/evasion/sni_decoy_injector.rs,file,4,494,.rs,Rust,source,False,False,0c54c90c994556fa0d20a232b27c3171bc522b47f55cafc4616806aba5f13656,0o644
core/src/evasion/sni_reader.rs,file,4,7920,.rs,Rust,source,False,False,ff3218a1b6854152465bcc5e2965bc2408d59f14d96d35ab5cb4dfe41daf3096,0o644
core/src/evasion/sni_spoof.rs,file,4,15379,.rs,Rust,source,False,False,55d0eb5eff4dd542858a364551f9e86388d0538a7d3cd5be3e1ae674432ede1e,0o644
core/src/evasion/snispf_hj.rs,file,4,20973,.rs,Rust,source,False,False,52f87fff0ec1226459239f7f1369823d7d5752355666fb135a054acca54c0bfc,0o644
core/src/evasion/ssh_obfuscate.c,file,4,314,.c,C,source,False,False,256e84a6c72503cffe3aeb24c970ecb257dfbbea969b38ca52d3430b81b7d72b,0o644
core/src/evasion/ssl_interception.rs,file,4,413,.rs,Rust,source,False,False,3d8c6bf8f2af1029751e90afc08940b7820e23ac6ab132578403fca7769b3970,0o644
core/src/evasion/stack_spoofing.rs,file,4,528,.rs,Rust,source,False,False,7616ef991486db3331a277b84fee7bfdc0d240b2748c864d49a45ab4cd4d805e,0o644
core/src/evasion/tls_fragmentation.rs,file,4,2919,.rs,Rust,source,False,False,996c392ae207e0f6db9a17e75b022bd4c3ec02e3f30f65a619b72d62ae9d32d3,0o644
core/src/evasion/tls_randchunk.rs,file,4,412,.rs,Rust,source,False,False,f0cd17c4bcf5c4a114eb51514b115412259082e588a06d09eaf4c1144d698ab7,0o644
core/src/evasion/traffic_shaper.rs,file,4,437,.rs,Rust,source,False,False,4393043f4461b9125fca4fa1bd08e0629ae0b9d3bc45b7d13ecd6d232ec2ca6e,0o644
core/src/evasion/trojan_go_fork.rs,file,4,407,.rs,Rust,source,False,False,aae7fc585a9398d424f7fbe65186eb0de8ede8d657f8d75d36017997bd1b1bc9,0o644
core/src/evasion/utls_spoof_proxy.rs,file,4,496,.rs,Rust,source,False,False,dfdf7c3af2a92f499143257a44ba3905ae732a23faff407dcfbc6d657eeecad8,0o644
core/src/evasion/win_divert_proxifier.rs,file,4,13581,.rs,Rust,source,False,False,8d20960d79a07a2fd3c0652f77f4e4f83754d5e2c52295c26cd26fe48ec41d72,0o644
core/src/ffi,directory,3,0,,,source,False,False,,0o2755
core/src/ffi/android_jni.rs,file,4,22528,.rs,Rust,source,False,False,cf9737e3c4598d2ead81724e2017aeedc81a98b3211640767063db14eafaf1c5,0o644
core/src/ffi/async_exports.rs,file,4,7268,.rs,Rust,source,False,False,d9004393d26321f006d65b07666acccd559298ebbe83b95457c06dbbc7d205fb,0o644
core/src/ffi/binary_bridge.rs,file,4,6273,.rs,Rust,source,False,False,dab4a935da266fab994cba91202e2ff37eff5b8f72aacc744575d8df2fbb6279,0o644
core/src/ffi/binary_scan.rs,file,4,2121,.rs,Rust,source,False,False,4d9341add4b5cb0b74633ef0ded05358bd012895334ce092e22b420c9134eb65,0o644
core/src/ffi/callbacks.rs,file,4,1494,.rs,Rust,source,False,False,13c6997d98180fce97fcde66017c34398ba32dfcd2bd5d378ea23cd2872e7e12,0o644
core/src/ffi/envelope.rs,file,4,2558,.rs,Rust,source,False,False,084c3b7654ba75c26a3d0c4373abe57b7ff2211d7717018da4502b0e4797d202,0o644
core/src/ffi/exports.rs,file,4,42447,.rs,Rust,source,False,False,f281fec3814c6f737e0b9814a4bb870cadf6ba736370537f9a0564c4bf9bac42,0o644
