sha256,size_bytes,count,duplicate_waste_bytes,paths
0bbc212b1cad2f1a83aaa0c1307ac93800557994e1982ae7cec9429bd7bb043a,679,2,679,desktop/frontend/node_modules/@jridgewell/remapping/types/types.d.cts.map | desktop/frontend/node_modules/@jridgewell/remapping/types/types.d.mts.map
06e9dd2c4ade4e3af9290444235bcace46e47e332cdeb7d89514ec83721852f8,619,2,619,desktop/frontend/node_modules/@jridgewell/remapping/types/types.d.cts | desktop/frontend/node_modules/@jridgewell/remapping/types/types.d.mts
d7ce782fd5c7ad5a5d30bcd31f31d0e892fd540799bac26b5da73825356acde4,597,2,597,desktop/frontend/node_modules/@jridgewell/gen-mapping/types/sourcemap-segment.d.cts.map | desktop/frontend/node_modules/@jridgewell/gen-mapping/types/sourcemap-segment.d.mts.map
938f6618e5962e5b0fbac434c606e923df636e52275aceaf99e2317e4fe44a6d,592,2,592,desktop/frontend/node_modules/react-router/dist/development/index-react-server-client.d.ts | desktop/frontend/node_modules/react-router/dist/production/index-react-server-client.d.ts
c717f4942c3ac41f477cb0778b625f657ac989176ede89871e666c3e3889132b,590,2,590,desktop/frontend/node_modules/react-router/dist/development/index-react-server-client.d.mts | desktop/frontend/node_modules/react-router/dist/production/index-react-server-client.d.mts
550badd6d062cba495619f18cbf85bfe3c6c32dcc6785a721c406d05abf5cb61,568,2,568,desktop/frontend/node_modules/@jridgewell/gen-mapping/types/sourcemap-segment.d.cts | desktop/frontend/node_modules/@jridgewell/gen-mapping/types/sourcemap-segment.d.mts
4b9e2a640989573510096e65bbaf4cb581e60b66405874b506584e281e5e2e9f,534,2,534,desktop/frontend/node_modules/@jridgewell/remapping/types/remapping.d.cts.map | desktop/frontend/node_modules/@jridgewell/remapping/types/remapping.d.mts.map
b838d4c72740eb0afd284bf7575b74c624b105eff2e8c7b4aeead57e7ac320ff,532,2,532,desktop/frontend/node_modules/@types/react/jsx-runtime.d.ts | desktop/frontend/node_modules/@types/react/ts5.0/jsx-runtime.d.ts
eb8e7f1763d0a16e2d25bda4a816cf1f7f346cf872fef28a829ddb74660e9bc0,471,2,471,desktop/frontend/node_modules/@jridgewell/trace-mapping/types/flatten-map.d.cts.map | desktop/frontend/node_modules/@jridgewell/trace-mapping/types/flatten-map.d.mts.map
9e95ab088727ad7778086299e22bf0a3af9d641f1d0fbc26d712a974ed2c6868,449,2,449,desktop/frontend/node_modules/@jridgewell/sourcemap-codec/types/vlq.d.cts.map | desktop/frontend/node_modules/@jridgewell/sourcemap-codec/types/vlq.d.mts.map
01801f41a1f267a7fef5576710998d477ea647b27ae75b7c3e47ac87874f085f,422,2,422,desktop/frontend/node_modules/@jridgewell/sourcemap-codec/types/strings.d.cts.map | desktop/frontend/node_modules/@jridgewell/sourcemap-codec/types/strings.d.mts.map
b09c433ed46538d0dc7e40f49a9bf532712221219761a0f389e60349c59b3932,398,2,398,desktop/frontend/node_modules/zustand/esm/middleware/combine.d.mts | desktop/frontend/node_modules/zustand/middleware/combine.d.ts
27b01c40c0b2bedb9aad8499121d58e2bff0cdd5c7c941990fbc4e3aa933c5c2,194,3,388,enterprise/templates/vercel-relay/.git/logs/HEAD | enterprise/templates/vercel-relay/.git/logs/refs/heads/main | enterprise/templates/vercel-relay/.git/logs/refs/remotes/origin/HEAD
5cddcbc6aedd6f1c99a3cd9a0000e2a44b7e432246732ccd9d250a87f2f56a1d,379,2,379,desktop/frontend/node_modules/@jridgewell/trace-mapping/types/sort.d.cts.map | desktop/frontend/node_modules/@jridgewell/trace-mapping/types/sort.d.mts.map
4eec0583330f90f4e054a6e2454ccce27eb583da2bcf18a7d57d1348621607e6,375,2,375,desktop/frontend/node_modules/@jridgewell/remapping/types/build-source-map-tree.d.cts.map | desktop/frontend/node_modules/@jridgewell/remapping/types/build-source-map-tree.d.mts.map
28fae3d88328335f864e689b012e5d12c9dbe4df4b5537a3bd1bb4a3bab153cf,361,2,361,desktop/frontend/node_modules/@jridgewell/sourcemap-codec/types/strings.d.cts | desktop/frontend/node_modules/@jridgewell/sourcemap-codec/types/strings.d.mts
0bb0e644293820a5cc705591150eb1b49ae6b2349636206079aa248333564267,339,2,339,desktop/frontend/node_modules/zustand/esm/middleware/ssrSafe.d.mts | desktop/frontend/node_modules/zustand/middleware/ssrSafe.d.ts
703132ce95a792475cfc9538210faedc6c54a789ce67688fb9d978a15fd13f66,332,2,332,desktop/frontend/node_modules/@jridgewell/trace-mapping/types/by-source.d.cts.map | desktop/frontend/node_modules/@jridgewell/trace-mapping/types/by-source.d.mts.map
b867e2ca531527332c0920fe87ad933af55047a3cce7bc2432d3b9a743771969,291,2,291,desktop/frontend/node_modules/@jridgewell/trace-mapping/types/resolve.d.cts.map | desktop/frontend/node_modules/@jridgewell/trace-mapping/types/resolve.d.mts.map
8e9efdc22a9f494faed4a61e9c26f9cc5656106e35a7a0f94f994060bd811796,236,2,236,desktop/frontend/node_modules/react-router/dist/development/lib/types/internal.js | desktop/frontend/node_modules/react-router/dist/production/lib/types/internal.js
7a5a7a668a07553022b54f044824d31e4f7899d8bcb9543547b46fcb0118236a,223,2,223,desktop/frontend/node_modules/react-router/dist/development/lib/types/internal.mjs | desktop/frontend/node_modules/react-router/dist/production/lib/types/internal.mjs
