donor,path,file_sha256,language,symbol
libcrafter,crafter/src/protocols/link/arp/layer.rs,a62b22157ba16d053ed4ba6a7ee17cf417f187f03f4c96c257b545adbf74e27c,Rust,name
libcrafter,crafter/src/protocols/link/arp/layer.rs,a62b22157ba16d053ed4ba6a7ee17cf417f187f03f4c96c257b545adbf74e27c,Rust,summary
libcrafter,crafter/src/protocols/link/arp/layer.rs,a62b22157ba16d053ed4ba6a7ee17cf417f187f03f4c96c257b545adbf74e27c,Rust,inspection_fields
libcrafter,crafter/src/protocols/link/arp/layer.rs,a62b22157ba16d053ed4ba6a7ee17cf417f187f03f4c96c257b545adbf74e27c,Rust,encoded_len
libcrafter,crafter/src/protocols/link/arp/layer.rs,a62b22157ba16d053ed4ba6a7ee17cf417f187f03f4c96c257b545adbf74e27c,Rust,compile
libcrafter,crafter/src/protocols/link/arp/layer.rs,a62b22157ba16d053ed4ba6a7ee17cf417f187f03f4c96c257b545adbf74e27c,Rust,clone_layer
libcrafter,crafter/src/protocols/link/arp/layer.rs,a62b22157ba16d053ed4ba6a7ee17cf417f187f03f4c96c257b545adbf74e27c,Rust,as_any
libcrafter,crafter/src/protocols/link/arp/layer.rs,a62b22157ba16d053ed4ba6a7ee17cf417f187f03f4c96c257b545adbf74e27c,Rust,as_any_mut
libcrafter,crafter/src/protocols/link/arp/layer.rs,a62b22157ba16d053ed4ba6a7ee17cf417f187f03f4c96c257b545adbf74e27c,Rust,into_any
libcrafter,crafter/src/protocols/link/arp/layer.rs,a62b22157ba16d053ed4ba6a7ee17cf417f187f03f4c96c257b545adbf74e27c,Rust,div
libcrafter,crafter/src/protocols/link/arp/layer.rs,a62b22157ba16d053ed4ba6a7ee17cf417f187f03f4c96c257b545adbf74e27c,Rust,Output
libcrafter,crafter/src/protocols/link/arp/layer.rs,a62b22157ba16d053ed4ba6a7ee17cf417f187f03f4c96c257b545adbf74e27c,Rust,Arp
libcrafter,crafter/src/protocols/link/arp/operation.rs,d1096446ce09440471c0fb9b6a182591d6217423a194f90ea4f8be4fe799e9ec,Rust,from_opcode
libcrafter,crafter/src/protocols/link/arp/operation.rs,d1096446ce09440471c0fb9b6a182591d6217423a194f90ea4f8be4fe799e9ec,Rust,opcode
libcrafter,crafter/src/protocols/link/arp/operation.rs,d1096446ce09440471c0fb9b6a182591d6217423a194f90ea4f8be4fe799e9ec,Rust,label
libcrafter,crafter/src/protocols/link/arp/operation.rs,d1096446ce09440471c0fb9b6a182591d6217423a194f90ea4f8be4fe799e9ec,Rust,from
libcrafter,crafter/src/protocols/link/arp/operation.rs,d1096446ce09440471c0fb9b6a182591d6217423a194f90ea4f8be4fe799e9ec,Rust,try_from
libcrafter,crafter/src/protocols/link/arp/operation.rs,d1096446ce09440471c0fb9b6a182591d6217423a194f90ea4f8be4fe799e9ec,Rust,Error
libcrafter,crafter/src/protocols/link/arp/operation.rs,d1096446ce09440471c0fb9b6a182591d6217423a194f90ea4f8be4fe799e9ec,Rust,ArpOperation
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,src_mac
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,sender_mac
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_request_matches_golden_bytes
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_reply_builder_matches_golden_bytes
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_who_has_builder_sets_request_fields_and_autofills_ethertype
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_is_at_builder_sets_reply_fields
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_compile_decode_round_trip_preserves_standard_request_fields
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_decode_exposes_ipv4_and_mac_fields
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_rejects_inconsistent_address_lengths
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_length_matching_explicit_lengths_compile_without_false_positive
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_length_mismatch_on_protocol_field_returns_structured_error
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_length_mismatch_on_target_field_returns_structured_error
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_length_zero_length_addresses_compile_and_round_trip
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_length_zero_length_field_against_nonempty_bytes_is_a_conflict
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_length_maximum_u8_length_arithmetic_does_not_overflow
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_length_oversized_byte_vector_saturates_then_conflicts
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_reply_builder_sets_expected_operation
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_constants_match_source_backed_codepoints
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_constants_drive_builder_and_preserve_unknown_values
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_constants_reexported_through_prelude
libcrafter,crafter/src/protocols/link/arp/tests.rs,d56580bfce94e5540f8938557b8d3e0e9886e21ee514c8c61a18e9d1ec88a9c1,Rust,arp_operation_names_known_source_backed_codepoints
