wave,donor,module,surfaces,high_signal_surfaces,ui_product_surfaces,bytes
234,dns_blocklists,wildcard/spam-tlds-allow-onlydomains.txt,1,0,0,12991
234,dns_blocklists,wildcard/spam-tlds-onlydomains.txt,1,0,0,4691
234,dns_blocklists,wildcard/tif-onlydomains.txt,1,0,0,29045257
234,dns_blocklists,wildcard/tif.medium-onlydomains.txt,1,0,0,7047951
234,dns_blocklists,wildcard/tif.medium.txt,1,0,0,7828852
234,dns_blocklists,wildcard/tif.mini-onlydomains.txt,1,0,0,3990707
234,dns_blocklists,wildcard/tif.mini.txt,1,0,0,4425402
234,dns_blocklists,wildcard/tif.txt,1,0,0,32336154
234,dns_blocklists,wildcard/ultimate-onlydomains.txt,1,0,0,5052150
234,dns_blocklists,wildcard/ultimate.mini-onlydomains.txt,1,0,0,1955033
234,dns_blocklists,wildcard/ultimate.mini.txt,1,0,0,2165640
234,dns_blocklists,wildcard/ultimate.txt,1,0,0,5586365
234,dns_blocklists,wildcard/urlshortener-onlydomains.txt,1,0,0,112681
234,dns_blocklists,wildcard/urlshortener.txt,1,0,0,132690
234,dns_blocklists,wildcard/whitelist-referral-onlydomains.txt,1,0,0,29012
234,kingo_vpn,.github/workflows,2,2,0,6362
234,kingo_vpn,.gitmodules,1,0,0,125
234,kingo_vpn,Android/V2ray,1,0,0,187
234,kingo_vpn,Android/app,54,52,6,29998439
234,kingo_vpn,Android/build.gradle.kts,1,1,0,203
234,kingo_vpn,Android/core,1,0,0,0
234,kingo_vpn,Android/gradle,3,1,0,60389
234,kingo_vpn,Android/gradle.properties,1,1,0,257
234,kingo_vpn,Android/gradlew,1,0,0,5774
234,kingo_vpn,Android/gradlew.bat,1,1,0,2675
234,kingo_vpn,Android/settings.gradle.kts,1,1,0,498
234,kingo_vpn,Notification/Notification.json,1,1,0,252
234,kingo_vpn,Notification/Update.json,1,1,0,259
234,kingo_vpn,README.md,1,0,0,1762
234,kingo_vpn,game/active_urls.txt,1,0,0,0
234,kingo_vpn,game/decoded.txt,1,0,0,36916
234,kingo_vpn,game/raw.txt,1,0,0,50177
234,kingo_vpn,merged_config.txt,1,0,0,210441
234,kingo_vpn,screenshots/Main.md,1,0,0,113
234,kingo_vpn,screenshots/icon.png,1,0,0,87425
234,kingo_vpn,screenshots/main.png,1,0,0,86974
234,kingo_vpn,server/KingoVpn.txt,1,0,0,229946
234,mitmproxy2swagger,.dockerignore,1,0,0,63
234,mitmproxy2swagger,.github/dependabot.yml,1,1,0,600
234,mitmproxy2swagger,.github/workflows,4,4,0,3909
234,mitmproxy2swagger,.gitignore,1,0,0,129
234,mitmproxy2swagger,.markdownlint.yaml,1,1,0,55
234,mitmproxy2swagger,.pre-commit-config.yaml,1,1,0,934
234,mitmproxy2swagger,.python-version,1,0,0,5
234,mitmproxy2swagger,.yamllint,1,0,0,191
234,mitmproxy2swagger,Dockerfile,1,1,0,553
234,mitmproxy2swagger,README.md,1,0,0,5835
234,mitmproxy2swagger,docs/export_har_button.png,1,0,0,18103
234,mitmproxy2swagger,docs/mitmweb_save.png,1,0,0,22553
234,mitmproxy2swagger,docs/video.mp4,1,0,0,2984311
234,mitmproxy2swagger,example_outputs/lisek-out.swagger.yml,1,1,0,80426
234,mitmproxy2swagger,example_outputs/lisek-static.html,1,1,1,1259005
234,mitmproxy2swagger,mitmproxy2swagger/__init__.py,1,1,0,0
234,mitmproxy2swagger,mitmproxy2swagger/console_util.py,1,1,0,2126
234,mitmproxy2swagger,mitmproxy2swagger/har_capture_reader.py,1,1,0,3880
234,mitmproxy2swagger,mitmproxy2swagger/mitmproxy2swagger.py,1,1,0,17102
234,mitmproxy2swagger,mitmproxy2swagger/mitmproxy_capture_reader.py,1,1,0,4807
234,mitmproxy2swagger,mitmproxy2swagger/swagger_util.py,1,1,0,5739
234,mitmproxy2swagger,mitmproxy2swagger/test_mitmproxy2swagger.py,1,1,0,5586
234,mitmproxy2swagger,mitmproxy2swagger/test_openapi_compliance.py,1,1,0,2039
234,mitmproxy2swagger,mitmproxy2swagger/testing_util.py,1,1,0,1763
234,mitmproxy2swagger,pyproject.toml,1,1,0,973
