donor,path,language,symbol,kind,line,surface_sha256,semantic_record_ids,resolution,notes
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_DYNAMIC_SOCKS_PORT,val,66,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_SOCKS_USERNAME,val,67,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_SOCKS_PASSWORD,val,68,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_SOCKS_ENABLE_UDP,val,69,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_REMOTE_DNS,val,70,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_DOMESTIC_DNS,val,71,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_DNS_HOSTS,val,72,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_DELAY_TEST_URL,val,73,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_IP_API_URL,val,74,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_LOGLEVEL,val,75,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_OUTBOUND_DOMAIN_RESOLVE_METHOD,val,76,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_MODE,val,77,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_ROOT_MODE_ENABLE,val,78,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_ROOT_LAN_SHARING,val,79,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_IS_BOOTED,val,80,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_CHECK_UPDATE_PRE_RELEASE,val,81,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_GEO_FILES_SOURCES,val,82,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_USE_HEV_TUNNEL,val,83,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_HEV_TUNNEL_LOGLEVEL,val,84,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_HEV_TUNNEL_RW_TIMEOUT,val,85,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_UPDATE_SUBSCRIPTION,val,86,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_AUTO_TEST_AFTER_UPDATE_SUBSCRIPTION,val,87,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_AUTO_REMOVE_INVALID_AFTER_TEST,val,88,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_AUTO_SORT_AFTER_TEST,val,89,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_REAL_PING_CONCURRENCY,val,90,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,CACHE_SUBSCRIPTION_ID,val,93,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PROTOCOL_FREEDOM,val,96,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,BROADCAST_ACTION_SERVICE,val,99,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,BROADCAST_ACTION_ACTIVITY,val,100,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,BROADCAST_ACTION_WIDGET_CLICK,val,101,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,TASKER_EXTRA_BUNDLE,val,104,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,TASKER_EXTRA_STRING_BLURB,val,105,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,TASKER_EXTRA_BUNDLE_SWITCH,val,106,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,TASKER_EXTRA_BUNDLE_GUID,val,107,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,TASKER_DEFAULT_GUID,val,108,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,TAG_PROXY,val,111,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,TAG_DIRECT,val,112,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,TAG_BLOCKED,val,113,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,TAG_FRAGMENT,val,114,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,TAG_DNS,val,115,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,TAG_DOMESTIC_DNS,val,116,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,TAG_BALANCER,val,117,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
