donor,directory,descendant_surfaces,direct_surfaces,tree_sha256,semantic_record_ids
l7-protocols-master,testing/data,122,122,b15d723dc68ca9a28d40383614ea8e6608d6b0fa9207faecb894fc308961adbe,BASE07;L7PROTO003
l7-protocols-master,testing/regexp,5,5,a5cb11c1183de2ef49306b3e9b29bf73ac9580927d67e43ab8a8ed50397b7c28,BASE07;L7PROTO003
l7-snake-main,.,20,3,ccea6710cd4081e456f565a121809b039984358d8ed28067753dd47c9a86cc31,BASE08;L7SNAKE001;L7SNAKE002;L7SNAKE003
l7-snake-main,Docker,1,1,075d0a0f8c385b91dd1cf673d1ac3e512e4a5af244ca559af0ca8c23e05c9185,BASE08;L7SNAKE002
l7-snake-main,banner,1,1,e334ccb101ef64e8288d879d664f79edf98147b1de963bf3b53270f6c1ac9bfb,BASE08;L7SNAKE003
l7-snake-main,centraldata,1,1,239b35db406f850252488b98500b1a657e5c2c149a9155dc55b8f64a0105a27d,BASE08;L7SNAKE001;L7SNAKE003
l7-snake-main,checkconfig,1,1,7a3df107c8030255482c2390915db5bf133574a57378871ea487566b315b76e4,BASE08;L7SNAKE001;L7SNAKE003
l7-snake-main,client,1,1,ddd1230edb1719754dafc2d960beda593460a5766e0ce427447dc0449d99278f,BASE08;L7SNAKE001;L7SNAKE003
l7-snake-main,configchanger,1,1,ed304f4408c065fc7d3e9dbc66bec74af41ff27a9992710a56069263a9672446,BASE08;L7SNAKE001;L7SNAKE003
l7-snake-main,configstruct,1,1,77cd2a51ef5589c170c47de434b6a4f53df0e97b3a55615001b75f11d7cee29f,BASE08;L7SNAKE003
l7-snake-main,kubernetes,4,4,a7be9a6b21ee5d5660fb0c4cc5fe6a1159dfd33936b8c244218bb54c7dea4484,BASE08;L7SNAKE002
l7-snake-main,pictures,1,1,f285cc1e9428a95bf5058db039c66102bdc286630bd4ec16a3459409aae5885a,BASE08
l7-snake-main,protoraw,1,1,eb0a06eb9ba37612d3477912576247e49ddb0effb0a49b15389c9caf70cdfbe8,BASE08;L7SNAKE003
l7-snake-main,pt3status,2,2,12c43cdb80245a71e0923bfdb4e1e880ec1d5212372d889568ee7043063eb8dc,BASE08;L7SNAKE001;L7SNAKE003
l7-snake-main,server,1,1,a35ec107d04fdfe353987ca34eadaeec81ad9d10402e6dee4cfe058f295a2b36,BASE08;L7SNAKE001;L7SNAKE003
l7-snake-main,slurper,1,1,b26552c50f93c3d4fb1bc3ad84a2348bc36b5be73ac488cf395a6780f86e10bf,BASE08;L7SNAKE003
LACUNA-Chain-main,.,7,4,086bed306948ff425678b714e48ec0c8e02a6f8f9289ec017563d57c0c0f5214,BASE09;LACUNA001;LACUNA002
LACUNA-Chain-main,shellcode,3,3,3e06ea5b6b9431363255b7fd04ab0f19915e7eb7df75c47b6c67279ed44ac501,BASE09;LACUNA002
