donor,path,line,kind,symbol,surface_sha256,semantic_record_ids
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/logging_utils.py,124,function,_c,2ffc223a706cf78f45139bc323b6c62edba4f24a700eb5ae04b65fcd2fb66e65,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/logging_utils.py,127,function,_fmt_time,2ffc223a706cf78f45139bc323b6c62edba4f24a700eb5ae04b65fcd2fb66e65,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/logging_utils.py,132,function,_fmt_level,2ffc223a706cf78f45139bc323b6c62edba4f24a700eb5ae04b65fcd2fb66e65,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/logging_utils.py,140,function,_fmt_component,2ffc223a706cf78f45139bc323b6c62edba4f24a700eb5ae04b65fcd2fb66e65,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/logging_utils.py,147,function,format,2ffc223a706cf78f45139bc323b6c62edba4f24a700eb5ae04b65fcd2fb66e65,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/logging_utils.py,195,function,configure,2ffc223a706cf78f45139bc323b6c62edba4f24a700eb5ae04b65fcd2fb66e65,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/logging_utils.py,224,type,_AsyncioNoiseFilter,2ffc223a706cf78f45139bc323b6c62edba4f24a700eb5ae04b65fcd2fb66e65,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/logging_utils.py,229,function,filter,2ffc223a706cf78f45139bc323b6c62edba4f24a700eb5ae04b65fcd2fb66e65,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/logging_utils.py,237,function,_install_asyncio_noise_filter,2ffc223a706cf78f45139bc323b6c62edba4f24a700eb5ae04b65fcd2fb66e65,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/logging_utils.py,247,function,print_banner,2ffc223a706cf78f45139bc323b6c62edba4f24a700eb5ae04b65fcd2fb66e65,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/logging_utils.py,252,function,c,2ffc223a706cf78f45139bc323b6c62edba4f24a700eb5ae04b65fcd2fb66e65,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/proxy/mitm.py,42,function,_safe_domain_filename,1e2a62d1fa561de99aec1de95e34653ce243afff8630170cb328565279c793ce,BASE04;JJ003
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/proxy/mitm.py,47,type,MITMCertManager,1e2a62d1fa561de99aec1de95e34653ce243afff8630170cb328565279c793ce,BASE04;JJ003
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/proxy/mitm.py,48,function,__init__,1e2a62d1fa561de99aec1de95e34653ce243afff8630170cb328565279c793ce,BASE04;JJ003
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/proxy/mitm.py,55,function,_ensure_ca,1e2a62d1fa561de99aec1de95e34653ce243afff8630170cb328565279c793ce,BASE04;JJ003
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/proxy/mitm.py,67,function,_create_ca,1e2a62d1fa561de99aec1de95e34653ce243afff8630170cb328565279c793ce,BASE04;JJ003
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/proxy/mitm.py,127,function,get_server_context,1e2a62d1fa561de99aec1de95e34653ce243afff8630170cb328565279c793ce,BASE04;JJ003
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/proxy/mitm.py,148,function,_generate_domain_cert,1e2a62d1fa561de99aec1de95e34653ce243afff8630170cb328565279c793ce,BASE04;JJ003
