donor,path,sha256,size_bytes,file_type,classification,language,authority_status,semantic_record_ids,notes
SenPaiScanner-main,gen_icons.py,a11e3195cd40fd027204add51f17f8c934cd116b56e07365a345c3a6d1788fa3,3776,file,implementation,Python,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,go.mod,361d17380c5b6461f9bd321a1f5f50177543a9754e221dbdab9b4d5a2410c77f,4394,file,other,other,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,go.sum,6d24e3dd7c98403ca9d30fbcc3a9070c71e27ec7375f986e4f6eaadba8eeffa6,21274,file,other,other,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,install.sh,746ce98450a61d16598e154b48b2410aec8a9bc4af9cc013448600f2899144e0,3799,file,script,Shell,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/banner/banner.go,2a78d238aa54ecc187fcd158fc0cd53f217a6b564c4d93465d0de27352cf4408,3350,file,implementation,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/config/config.go,b6978b838fe093489fc222b63bc7f493446419adaaa23819559d5215f517a989,634,file,implementation,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/engine/engine.go,35c7f5c01ea35cce64f40fd660e6ac1f4e045b1512ecb7d5d2fe52b082f428d7,2827,file,implementation,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/export/export.go,fbb5dc0b4b86c1784a3d282a18af0b52909d0e4997af572974ae16e651630d3a,6307,file,implementation,Go,donor-evidence,S7-043,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/export/export_test.go,0336cb4fb35874f39bf8090a8ba2e56ed6483c9078d9b452580f8de01730c79e,1898,file,test,Go,donor-evidence,S7-043,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ipsrc/ipsrc.go,191c52784030dcff9de988cbf61f734f251fcb69b7a5c73cac840ed6dce9a00c,10618,file,implementation,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ipsrc/ipsrc_test.go,744596cf8a4dd6048ebdbce2a8fc83cc97f595c1c9f2a3d842050ce55034e548,5174,file,test,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ipsrc/neighbors.go,dd8f5cebb87c37e2d6763e69d6131faae598b3d2d6cee6393c510d1d639bc096,1689,file,implementation,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ipsrc/neighbors_test.go,ef1e4d44b85478a413a6030df2cf2144cd118708b5cb6b384cb209833e882b21,1354,file,test,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ipsrc/ranges_v4.txt,21132c547308e0fddb813c82d9e0857ced123493bc566a8900ffdb644e7404bc,9832,file,documentation,other,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ipsrc/ranges_v6.txt,274414aae4cfacd1f28bf7b5fbbd8bc2c90bebad4cd7f1dfe5bb0c1e8dcbbca1,105,file,documentation,other,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/output/output.go,e36e7c70f1aa61048625206e8a7f40d4570ed08f5e3183b9a62abf93a7721f53,4305,file,implementation,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/prober/prober.go,30364b4dac6d40a0f7bc1aa55d4eeb493d1c2e282a9c5a157d16a131c3593e59,17022,file,implementation,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/prober/prober_test.go,5f3bef6e9d751e6e1633478bc80197cfd142874f4af1f6aa49de60a3f9a009f6,4077,file,test,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/result/result.go,037609bee4601442bf6c43d6936ecc1c7fe646afa819aea39f6ac290e73d4130,6068,file,implementation,Go,donor-evidence,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/result/result_test.go,9f27e1efc24d470e88db3f4e9d1f998a6e054d72beb4f79796e52a025c1744cd,6590,file,test,Go,donor-evidence,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ui/cmds.go,3ac69f6a83b333b0a5abc55b706c7065666ec786954c6c5bdd0b0770f9ad78cd,18134,file,implementation,Go,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ui/cmds_test.go,c71fcfcd6ae2994f2e65bad0880ed4d91c3025b3a6bcb379d6cfbcbdd0176073,2331,file,test,Go,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ui/gui_api.go,0f2156f92d46071dc1719276ffecfe3ac9c8ffe87e5e0e3068bb206ea6d0c4e7,15282,file,implementation,Go,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ui/ir_isps.go,361853a8c162dc740fec4ca0dbdf29e0c2bf4092d5c80d80106fc1452da768cf,614934,file,implementation,Go,donor-evidence,S7-044,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ui/ir_isps_test.go,20a30c32efbae091193297af1303e3c4326c8076542f371d38731033a597df67,1782,file,test,Go,donor-evidence,S7-044,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ui/live_results.go,7837986d4a28434122a86c7752deea2300e7b73725e0e1949807016f28d920ce,5244,file,implementation,Go,donor-evidence,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ui/live_results_test.go,7e508ce21bbd7c99acd31cf882d2c0f338da9c94d8fbc0c02bc2034841522a9e,1726,file,test,Go,donor-evidence,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ui/meta_test.go,79ac05eadb9b7931ab52e0d1e4d3c98ccd4ff3eb941bdd42929f8fd1014f93b5,1723,file,test,Go,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ui/model.go,f8bd9a2281a6c52e3fa2eda7577029066c8d1517ec644417ed4b226e380896ab,94734,file,implementation,Go,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ui/model_test.go,0368877155d69773af841a82efe77ef08d4a134fb02eb0a03e4544d3634f3407,13948,file,test,Go,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/ui/pages.go,7e19f5846b39419d8067c81cf5785d2df4e0d8321362f5a6ee5b8e5c73952509,529,file,implementation,Go,donor-evidence,S7-045,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/xraytest/builder.go,e1572e40ebe249a9819e9cb5eaae7e3e4586d0b7995768556e1114427426ffdf,5597,file,implementation,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/xraytest/builder_test.go,7c45a10158a15345f57892866d1be3dd3eaaf57329fe7b446ee2485af03546f7,6471,file,test,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/xraytest/parser.go,588f579092371e14d814f380c407184c50f94839fcaf47c6644eb9e2c09c04d0,15823,file,implementation,Go,donor-evidence,S7-043,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/xraytest/parser_host_test.go,c866331f6d1b897ce9f90886c0e95fd899f3a34ecbf0e52d87f9dfda2a512b68,2065,file,test,Go,donor-evidence,S7-043,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/xraytest/parser_path_test.go,d56e7c5f2f4197a014cc1b508131078e20d3f8307dc9f3d530c84bcf81d3bd61,1596,file,test,Go,donor-evidence,S7-043,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/xraytest/parser_test.go,939e84873be19fb6355ca00a590dbe407308e203803b54ffaf2ecfc9bd1d381b,7013,file,test,Go,donor-evidence,S7-043,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/xraytest/runner.go,ddca3614cd095f36cf8fb4999385f1eeeef2107b059d79c38843c724c860588b,23623,file,implementation,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/xraytest/runner_stdio_test.go,433758f3bf541c5397e2427301dd074a9e6f9ecb05d94ff81a0568b8de637526,1497,file,test,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,internal/xraytest/runner_test.go,e67d8c14ed4a98d34d4ffa566ad98a3e97bfc356acebde9903cb00179fbcbfe8,3790,file,test,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,logo/logo.png,e7fb3f2ee710945168495a1d84f9ce9cff6818aac3147b4c1f3e94438a2d1b0e,1665008,file,media,other,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,mobile/mobile.go,9f0fb09d0ea0d17f3d05477717d3aea6de553493cbc083ff089033f71e35f8fb,19743,file,implementation,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,mobile/validate.go,0f4be37df7209dfb42b230031cf0b32c103dd5942ab3f6a47ef7751d2ee91ef3,23308,file,implementation,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
SenPaiScanner-main,pkg/version/version.go,57f295b463c405179fe181ad87c5ccfe910201437047ff27e4803841098307de,300,file,implementation,Go,donor-evidence,S7-046,resolved-by-seventh-order-ledger
VpnHood-develop,.dockerignore,d55f49b09c97c2a8bf0b45aa2ab30b37f7309a5378b1eff97b74ede349b44196,316,file,other,other,donor-evidence,S7-029,resolved-by-seventh-order-ledger
