sha256,count,refs
8244894c592a91b05c1a392416588e69799e7194aadd0977872ff7f4d4f7ee18,3,v2ray-core-main:common/platform/platform.go;v2ray-core-master:common/platform/platform.go;v2ray-go-main:common/platform/platform.go
864a1382dea58fb77c9e33317890b714abc03c15d43e32468aa4e4d4c183dca5,3,v2ray-core-main:transport/internet/websocket/connforwarder.go;v2ray-core-master:transport/internet/websocket/connforwarder.go;v2ray-go-main:transport/internet/websocket/connforwarder.go
871beb30ec6081b2b4a1e00b80ea7ac3046e8b6a21396314ef30a0ebc34660e7,3,v2ray-core-main:transport/internet/sockopt.go;v2ray-core-master:transport/internet/sockopt.go;v2ray-go-main:transport/internet/sockopt.go
87b1bd96bf48039a7b6ac4bde078e5e0c2c5fe58d5589d919cb1b3d7b6aea980,3,v2ray-core-main:release/debian/v2ray@.service;v2ray-core-master:release/debian/v2ray@.service;v2ray-go-main:release/debian/v2ray@.service
8c80ca4f63087250e02b85895892ab4c6620ae0f8209f3355a2a5a9e38dc4dfe,3,v2ray-core-main:transport/internet/kcp/xor.go;v2ray-core-master:transport/internet/kcp/xor.go;v2ray-go-main:transport/internet/kcp/xor.go
907fb0582fa1da16c32ad13429b5d4f3914fb771b4fa063aa2c46e06b7eb6a7f,3,v2ray-core-main:common/antireplay/antireplay.go;v2ray-core-master:common/antireplay/antireplay.go;v2ray-go-main:common/antireplay/antireplay.go
a33a6a94ab71d32f541ae6904835305dc708271becd82029a455438c4772a88e,3,Xray-core-main:common/net/network.go;Xray-tun-main:common/net/network.go;v2ray-go-main:common/net/network.go
b6f12657ae4fd5244d6e5694087dee54c475c49273b248ea9421b96e1bba7556,3,v2ray-core-main:features/extension/browser.go;v2ray-core-master:features/extension/browser.go;v2ray-go-main:features/extension/browser.go
bc36da98adbeb399014b84ebdeea30f3ba1d21bbf4ad321a2c2d8a8482235dfc,3,Xray-tun-main:app/proxyman/config.go;v2ray-core-master:app/proxyman/config.go;v2ray-go-main:app/proxyman/config.go
bef27c988b00ff2a51ed57f14919c1ee116c3176196de55128aa6b2d7f7d1566,3,v2ray-core-main:transport/internet/sockopt_other.go;v2ray-core-master:transport/internet/sockopt_other.go;v2ray-go-main:transport/internet/sockopt_other.go
ca33d46ce9d48c926da0fe501c29c9ae67ed4c88847c22547a1a41b943800103,3,v2ray-core-main:proto.go;v2ray-core-master:proto.go;v2ray-go-main:proto.go
cada52cb238fccc0b914f31fa6a5860574774130ede07c2a58371ae2505ee114,3,v2ray-core-main:release/debian/v2ray-domain-list-community.install;v2ray-core-master:release/debian/v2ray-domain-list-community.install;v2ray-go-main:release/debian/v2ray-domain-list-community.install
cb587a075bb0addcdc0d22c9222a48d2c7004b54935b5021379d3d35dc1f2927,3,v2ray-core-main:release/extra/browserforwarder/index.js;v2ray-core-master:release/extra/browserforwarder/index.js;v2ray-go-main:release/extra/browserforwarder/index.js
ccb271d29f7ea55a0febb44fa0576f9b0713d8823fdcb11086ffcab47ab1c265,3,v2ray-core-main:transport/internet/tls/pin_test.go;v2ray-core-master:transport/internet/tls/pin_test.go;v2ray-go-main:transport/internet/tls/pin_test.go
cd4641d67e2a1bba85a27add6a9b0f714df76ce12e3a236ff67a6b684e71f91d,3,v2ray-core-main:common/buf/readv_posix.go;v2ray-core-master:common/buf/readv_posix.go;v2ray-go-main:common/buf/readv_posix.go
d0919d5bb7576d4b1a495856f1e561985d1063a8e22c74dfb90a5267c165331d,3,v2ray-core-main:release/debian/v2ray-docs.docs;v2ray-core-master:release/debian/v2ray-docs.docs;v2ray-go-main:release/debian/v2ray-docs.docs
e3af79f7dd172ba22f8fa35df5950bb23e386460826ce7d34b4293ae22a531ee,3,Xray-core-main:common/units/bytesize.go;v2ray-core-main:common/units/bytesize.go;v2ray-core-master:common/units/bytesize.go
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3,LEGION2-main:src-tauri/data/.scans/data.xml;SIMORGH-main:app/libs/.gitkeep;SIMORGH-main:app/src/main/java/com/rkh/vpn/service/SimurghPublicVpnService.kt.tmp
e8ab3c752efd2616345f090e661cca113562e8f711a45077e1d0ef2683170e1a,3,v2ray-core-main:testing/mocks/io.go;v2ray-core-master:testing/mocks/io.go;v2ray-go-main:testing/mocks/io.go
eb0b0d2844a3ab16ea87d3ecf44ba90345fdf3504dfaf7e6a5504f3d1eb6cdfc,3,v2ray-core-main:release/debian/v2ray.install;v2ray-core-master:release/debian/v2ray.install;v2ray-go-main:release/debian/v2ray.install
ec76da8f051a7cf0b18a080ba70239751a2c416bc697f7a768aaee04619c1b60,3,Xray-tun-main:common/net/port.go;v2ray-core-master:common/net/port.go;v2ray-go-main:common/net/port.go
f2fb9d82f2ecaec22a6a2c02f9f1536f8c0c47d866eddb5bdb281066e582ee22,3,Xray-core-main:features/routing/balancer.go;v2ray-core-main:features/routing/balancer.go;v2ray-core-master:features/routing/balancer.go
0016ac6804903ae08a03f293e8666b4bb6cb0aa099d694064e6ccd77a0229944,2,v2ray-core-main:testing/mocks/proxy.go;v2ray-core-master:testing/mocks/proxy.go
00615f2ae5e47ec54155fc44ae8b13574e3bede9d3235f2ddb78292ed5a19c32,2,v2ray-core-main:transport/internet/headers/utp/utp.go;v2ray-core-master:transport/internet/headers/utp/utp.go
00fae07a0676c6ab1dfaaf82ceb71024696f28d32c3e4eb7cc58db17333a2cdd,2,v2ray-core-main:app/log/errors.generated.go;v2ray-core-master:app/log/errors.generated.go
010d5d7dbefa9eb7b940417469778739ae8bf4ca3713839f69533a3eb435b7c1,2,v2ray-core-main:infra/conf/v4/shadowsocks_test.go;v2ray-core-master:infra/conf/v4/shadowsocks_test.go
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,2,lantern-main:lib/core/utils/decoration.dart;v2ray_client-master:config/supervisord.conf
01cd3b63a29ec9af8af826bf088d52efe6ef59261effb0f51e4449795945a740,2,v2ray-core-main:main/commands/all/tls/ping.go;v2ray-core-master:main/commands/all/tls/ping.go
