wave,donor,directory,direct_files,direct_dirs
post-refactor-4d,i2p.i2p-master,apps/i2psnark/resources,0,3
post-refactor-4d,i2p.i2p-master,apps/i2psnark/resources/icons,21,1
post-refactor-4d,i2p.i2p-master,apps/i2psnark/resources/icons/solid,21,0
post-refactor-4d,i2p.i2p-master,apps/i2psnark/resources/js,6,0
post-refactor-4d,i2p.i2p-master,apps/i2psnark/resources/themes,0,4
post-refactor-4d,i2p.i2p-master,apps/i2psnark/resources/themes/dark,3,1
post-refactor-4d,i2p.i2p-master,apps/i2psnark/resources/themes/dark/images,60,0
post-refactor-4d,i2p.i2p-master,apps/i2psnark/resources/themes/light,3,1
post-refactor-4d,i2p.i2p-master,apps/i2psnark/resources/themes/light/images,66,0
post-refactor-4d,i2p.i2p-master,apps/i2psnark/resources/themes/ubergine,3,1
post-refactor-4d,i2p.i2p-master,apps/i2psnark/resources/themes/ubergine/images,68,0
post-refactor-4d,i2p.i2p-master,apps/i2psnark/resources/themes/vanilla,3,1
post-refactor-4d,i2p.i2p-master,apps/i2psnark/resources/themes/vanilla/images,64,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel,1,6
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/doc,3,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java,3,2
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/src,0,1
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/src/net,0,1
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/src/net/i2p,0,1
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/src/net/i2p/i2ptunnel,25,10
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/src/net/i2p/i2ptunnel/access,13,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/src/net/i2p/i2ptunnel/irc,9,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/src/net/i2p/i2ptunnel/localServer,2,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/src/net/i2p/i2ptunnel/socks,14,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/src/net/i2p/i2ptunnel/streamr,6,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/src/net/i2p/i2ptunnel/udp,9,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/src/net/i2p/i2ptunnel/udpTunnel,2,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/src/net/i2p/i2ptunnel/ui,4,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/src/net/i2p/i2ptunnel/util,6,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/src/net/i2p/i2ptunnel/web,4,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/test,0,1
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/test/junit,0,1
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/test/junit/net,0,1
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/test/junit/net/i2p,0,1
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/java/test/junit/net/i2p/i2ptunnel,1,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/jsp,9,2
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/jsp/js,3,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/jsp/themes,0,2
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/jsp/themes/dark,1,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/jsp/themes/light,1,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/locale,32,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/locale-proxy,31,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/resources,0,1
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/resources/proxy,22,1
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/resources/proxy/css,0,2
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/resources/proxy/css/dark,1,0
post-refactor-4d,i2p.i2p-master,apps/i2ptunnel/resources/proxy/css/light,1,0
post-refactor-4d,i2p.i2p-master,apps/imagegen,2,3
post-refactor-4d,i2p.i2p-master,apps/imagegen/identicon,4,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/identicon/core,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/identicon/core/src,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/identicon/core/src/main,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/identicon/core/src/main/java,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/identicon/core/src/main/java/com,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/identicon/core/src/main/java/com/docuverse,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/identicon/core/src/main/java/com/docuverse/identicon,5,0
post-refactor-4d,i2p.i2p-master,apps/imagegen/imagegen,3,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/imagegen/webapp,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/imagegen/webapp/src,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/imagegen/webapp/src/main,0,2
post-refactor-4d,i2p.i2p-master,apps/imagegen/imagegen/webapp/src/main/java,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/imagegen/webapp/src/main/java/net,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/imagegen/webapp/src/main/java/net/i2p,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/imagegen/webapp/src/main/java/net/i2p/imagegen,5,0
post-refactor-4d,i2p.i2p-master,apps/imagegen/imagegen/webapp/src/main/webapp,2,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/imagegen/webapp/src/main/webapp/WEB-INF,1,0
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing,7,2
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/core,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/core/src,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/core/src/main,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/core/src/main/java,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/core/src/main/java/com,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/core/src/main/java/com/google,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/core/src/main/java/com/google/zxing,8,2
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/core/src/main/java/com/google/zxing/common,3,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/core/src/main/java/com/google/zxing/common/reedsolomon,3,0
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/core/src/main/java/com/google/zxing/qrcode,1,2
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/core/src/main/java/com/google/zxing/qrcode/decoder,4,0
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/core/src/main/java/com/google/zxing/qrcode/encoder,6,0
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/javase,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/javase/src,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/javase/src/main,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/javase/src/main/java,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/javase/src/main/java/com,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/javase/src/main/java/com/google,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/javase/src/main/java/com/google/zxing,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/javase/src/main/java/com/google/zxing/client,0,1
post-refactor-4d,i2p.i2p-master,apps/imagegen/zxing/javase/src/main/java/com/google/zxing/client/j2se,2,0
post-refactor-4d,i2p.i2p-master,apps/jetty,3,6
post-refactor-4d,i2p.i2p-master,apps/jetty/.externalToolBuilders,1,0
post-refactor-4d,i2p.i2p-master,apps/jetty/apache-tomcat-9.0.107,1,2
post-refactor-4d,i2p.i2p-master,apps/jetty/apache-tomcat-9.0.107/bin,1,0
post-refactor-4d,i2p.i2p-master,apps/jetty/apache-tomcat-9.0.107/lib,8,0
post-refactor-4d,i2p.i2p-master,apps/jetty/java,0,1
post-refactor-4d,i2p.i2p-master,apps/jetty/java/src,0,1
post-refactor-4d,i2p.i2p-master,apps/jetty/java/src/net,0,1
post-refactor-4d,i2p.i2p-master,apps/jetty/java/src/net/i2p,0,2
post-refactor-4d,i2p.i2p-master,apps/jetty/java/src/net/i2p/jetty,6,0
post-refactor-4d,i2p.i2p-master,apps/jetty/java/src/net/i2p/servlet,7,2
post-refactor-4d,i2p.i2p-master,apps/jetty/java/src/net/i2p/servlet/filters,4,0
post-refactor-4d,i2p.i2p-master,apps/jetty/java/src/net/i2p/servlet/util,4,0
post-refactor-4d,i2p.i2p-master,apps/jetty/jetty-home-12.0.28,1,1
